"event.year";"event.city";"awarding.country";"pts";"recipient.country";"event.type";"event.id";"page"
1958;"Hilversum";"Sweden";1;"Austria";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Sweden";1;"Germany";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Sweden";1;"Italy";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Sweden";1;"France";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Sweden";1;"Denmark";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Sweden";1;"Belgium";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";3;"Sweden";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";2;"Austria";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";1;"Italy";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";1;"The Netherlands";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";1;"France";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";1;"Luxembourg";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"Switzerland";1;"Belgium";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"The Netherlands";6;"Switzerland";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"The Netherlands";2;"Sweden";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"The Netherlands";1;"Italy";"final";"hilversum-1958";"scoreboard"
1958;"Hilversum";"The Netherlands";1;"Denmark";"final";"hilversum-1958";"scoreboard"
1959;"Cannes";"Austria";3;"The Netherlands";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Austria";2;"Denmark";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Austria";2;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Austria";1;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Austria";1;"Monaco";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Austria";1;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Belgium";3;"The Netherlands";"final";"cannes-1959";"scoreboard"
